item_model_code_clean,log_model_failures_90d,model_failure_rate_90d,log_model_fleet_size
0521201,4.04305126783455,0.07724137931034483,6.587550014824796
0121101,2.4849066497880004,0.012971698113207548,6.744059186311348
0121103,0.6931471805599453,0.001040582726326743,6.8690144506657065
0321501,0.0,0.0,6.802394763324311
0420501,1.3862943611198906,0.009230769230769232,5.786897381366708
0420502,2.302585092994046,0.028938906752411574,5.7430031878094825
0420503,2.6390573296152584,0.13829787234042554,4.553876891600541
0620505,3.970291913552122,0.10699588477366255,6.18826412308259
0120201,4.584967478670572,0.038461538461538464,7.833203948641057
0620302,3.4339872044851463,0.031578947368421054,6.85751406254539
0720301,4.143134726391533,0.03575547866205306,7.45876269238096
0521102,0.6931471805599453,0.002070393374741201,6.182084906716632
0521203,2.302585092994046,0.02875399361022364,5.749392985908253
0521202,4.406719247264253,0.3068181818181818,5.579729825986222
0321302,1.6094379124341003,0.008333333333333333,6.175867270105761
0321301,0.6931471805599453,0.0020876826722338203,6.173786103901937
0220601,0.6931471805599453,0.0070921985815602835,4.955827057601261
0320203,0.0,0.0,5.135798437050262
0220402,0.6931471805599453,0.01694915254237288,4.0943445622221
0120401,2.8903717578961645,0.06640625,5.54907608489522
0120901,1.3862943611198906,0.02702702702702703,4.718498871295094
0121701,1.0986122886681098,0.015748031496062992,4.852030263919617
0721001,0.0,0.0,4.941642422609304
0120701,0.6931471805599453,0.008264462809917356,4.804021044733257
0120202,1.9459101490553132,0.023809523809523808,5.53338948872752
0120801,2.1972245773362196,0.05714285714285714,4.948759890378168
0221601,0.0,0.0,4.143134726391533
0121401,0.6931471805599453,0.00390625,5.54907608489522
0121603,1.9459101490553132,0.075,4.394449154672439
0220602,0.0,0.0,4.709530201312334
0420504,2.4849066497880004,0.05555555555555555,5.293304824724492
0121602,3.295836866004329,0.16774193548387098,5.049856007249537
0420506,0.0,0.0,1.6094379124341003
0921610,2.9444389791664403,4.5,1.6094379124341003
0220603,0.0,0.0,2.4849066497880004
0420510,2.70805020110221,0.09929078014184398,4.955827057601261
0820604,0.0,0.0,2.4849066497880004
0120204,4.02535169073515,0.06264236902050115,6.778784897685177
1521405,3.6888794541139363,0.2805755395683453,4.941642422609304
1520512,3.258096538021482,0.10416666666666667,5.484796933490655
1521403,2.4849066497880004,0.11458333333333333,4.574710978503383
1420511,1.6094379124341003,0.19047619047619047,3.091042453358316
0121408,0.0,0.0,3.2188758248682006
0620517,1.3862943611198906,0.125,3.2188758248682006
0620307,0.0,0.0,3.871201010907891
0120702,0.0,0.0,3.1780538303479458
1920611,0.0,0.0,3.2188758248682006
1122001,0.0,0.0,5.877735781779639
0620308,0.0,0.0,1.9459101490553132
1921105,0.0,0.0,2.5649493574615367
1921303,0.0,0.0,2.5649493574615367
1921205,0.0,0.0,2.70805020110221
0820507,1.0986122886681098,0.058823529411764705,3.5553480614894135
1021402,0.6931471805599453,0.022222222222222223,3.828641396489095
0821901,0.0,0.0,3.6109179126442243
0820605,0.0,0.0,3.6109179126442243
0921604,0.6931471805599453,0.02857142857142857,3.58351893845611
0521104,0.0,0.0,4.219507705176107
0620512,0.0,0.0,1.6094379124341003
0820607,0.0,0.0,2.0794415416798357
1620205,0.0,0.0,1.6094379124341003
0820303,0.0,0.0,4.969813299576001
1020511,0.0,0.0,1.0986122886681098
1020608,0.0,0.0,0.6931471805599453
1021406,0.0,0.0,1.0986122886681098
1021902,0.0,0.0,1.9459101490553132
1020513,0.0,0.0,2.1972245773362196
1020606,0.0,0.0,1.791759469228055
0521204,0.0,0.0,4.343805421853684
1020206,0.0,0.0,2.4849066497880004
1020516,0.0,0.0,0.6931471805599453
1021407,0.0,0.0,0.6931471805599453
1020609,0.0,0.0,1.791759469228055
1020514,0.0,0.0,1.791759469228055
1020610,0.0,0.0,1.791759469228055
1020515,0.0,0.0,0.6931471805599453
